paper_id,question,true_label,predicted_label,true_answer,predicted_answer,model_name
1805.04687v2,How does the BDD100K dataset compare to the KITTI and MOT17 datasets in terms of size and complexity?,386,536,"The BDD100K dataset is significantly larger and more complex than both the KITTI and MOT17 datasets. It contains roughly 40 times more frames, 16 times more sequences, and 13 times more identities than KITTI. Compared to MOT17, BDD100K has about 10 times more frames, 80 times more sequences, and 8 times more identities. This increase in size and complexity makes BDD100K a more challenging and comprehensive benchmark for multiple object tracking algorithms. ","GBI is more effective than A* in reducing the disagreement rate on the SRL-100 network's failure set. After applying GBI, the average disagreement rate drops to 24.92%, while A* only reduces it to 33.91%. This represents an 19.93% greater reduction in disagreement rate when using GBI compared to A*.",text_model_embed200_hidden100
1707.08608v3,Which genre in the SRL-NW network has the lowest failure rate and how does its inference time compare to other genres within the same network?,530,631,"The PT genre within the SRL-NW network has the lowest failure rate at 10.01%. Its inference time is also the lowest across all genres in the SRL-NW network for all three inference procedures (Viterbi, GBI, and A*).","The Yelp P. dataset has the largest vocabulary size with 25,709 unique words. This is significantly larger than the average number of words per document in the dataset, which is 138.",text_model_embed200_hidden100
1804.05938v2,"Which correction method resulted in the best performance in terms of nDCG@10 and ERR@10, and how does it compare to not using any correction method?",322,446,"The DNN trained with DLA achieved the best performance in terms of both nDCG@10 (0.421) and ERR@10 (0.582). Compared to not using any correction method (NoCorrect), DLA shows a significant improvement in both metrics, with nDCG@10 being higher by 0.063 and ERR@10 being higher by 0.082.",The highest Recall@20 score was achieved by the GRU4Rec with additional samples and BPR-max loss function on the RSC15 dataset. This score was 42.37% higher than the Recall@20 score of the original GRU4Rec model on the same dataset.,text_model_embed200_hidden100
1704.07854v4,"Which of the two scenes, Drop or Staris, requires more computation time for rendering?",220,351,Staris,DUF,text_model_embed200_hidden100
1605.07496v3,How does the predicted return change as a function of θ for a fixed value of π = 1.5?,70,111,"The predicted return decreases as θ increases, with a minimum at around θ = 0.5.",The RR optimization helps to reduce the number of messages that need to be exchanged between replicas.,text_model_embed200_hidden100
1812.06589v2,What is the role of the frame discriminator in the proposed method?,464,62,The frame discriminator is used to detect whether the generated frame and audio are matched or not.,The virtual environment is used to collect demonstrations of the task from the user. This allows for safe and efficient data collection.,text_model_embed200_hidden100
1809.01989v2,Which method achieved the highest tracking accuracy in terms of minimizing the sum of absolute percentage errors? Does this necessarily mean it had the best overall performance?,646,422,"The Ridge method achieved the lowest sum of absolute percentage errors (136.84), indicating the highest tracking accuracy in terms of minimizing absolute deviations from the index. However, this doesn't necessarily translate to the best overall performance.",The WideResNet model has higher accuracy than the ChoiceNet model on the CIFAR-10 dataset with 50% random shuffle.,text_model_embed200_hidden100
1704.07854v4,Which of the methods is able to reconstruct the shape of the liquid properly?,223,100,Only the full method with a deformation network is able to produce a perfect reconstruction.,The SPIRAL-MSM-kMeans method performs the best in terms of NMI with a score of 0.365. It outperforms the other methods on 89.4% of the datasets.,text_model_embed200_hidden100
1705.09966v2,What is the difference between the input and output of the frontal face generation process?,344,59,The input is a low-resolution frontal face image and a high-resolution side-face image. The output is a high-resolution frontal face image.,"The LSTM-MDN network is used to learn the relationship between the gripper pose and status, the pose of relevant objects, and the joint angles of the robot arm.",text_model_embed200_hidden100
1805.06431v4,Which of the four methods has the best performance in terms of average error for the step function?,423,312,The proposed method.,BoSsNet,text_model_embed200_hidden100
1705.09882v2,How does the proposed split-rate RGB-to-Depth transfer scheme differ from the R3D [90] method of Yosinski et al.?,326,462,"The proposed split-rate RGB-to-Depth transfer scheme differs from the R3D [90] method in two ways. First, the proposed method uses a different learning rate for the bottom three layers of the network. Second, the proposed method uses a different initialization for the weights of the bottom three layers of the network.","Adding DA to the baseline method improves the PSNR and SSIM values, while slightly decreasing the LMD value.",text_model_embed200_hidden100
1812.06589v2,Which method performed the best according to the LMD metric?,463,256,AMIE (Ours),Variational J^var (7),text_model_embed200_hidden100
1706.08146v3,What is the effect of increasing the projection dimension d on the approximation error for sparse PCA and NMF?,505,575,Increasing the projection dimension d decreases the approximation error for both sparse PCA and NMF.,The buffer percentage decreases as the width of the room increases.,text_model_embed200_hidden100
1603.00286v5,What is the minimum number of sides that a rectilinear polygon with four reflex vertices must have?,58,296,Six.,The activation layer applies a non-linear function to the output of the convolution layer. This allows the network to learn more complex features from the data.,text_model_embed200_hidden100
1704.05426v4,Which type of word has the greatest difference in frequency of occurrence between MultiNLI and SNLI?,156,350,Negation (PTB),TecoGAN,text_model_embed200_hidden100
1811.02721v3,How does varying the buffer size affect TCP goodput?,205,198,"Increasing the buffer size generally leads to increased TCP goodput, but only up to a certain point.",The LIVR framework decomposes semantic features into different places by utilizing bitmaps encoded with the semantic labels of places. This decomposition encourages the network to learn features of generic place-based motion patterns that are independent of scene layouts.,text_model_embed200_hidden100
1805.04687v2,Which category of object is the least common in the dataset?,385,378,Train,Cars are the most common object in the dataset.,text_model_embed200_hidden100
1703.02507v3,Which dataset has the shortest average sentence length?,85,12,Headlines.,DMRNet,text_model_embed200_hidden100
1608.02784v2,What is the relationship between BLEU score and human ranking for CCA and SMT systems?,32,122,The correlation between BLEU scores and human ranking is not high for either CCA or SMT systems.,"The top-down compositional learning scheme starts with a holistic object model and decomposes it into smaller parts, while the bottom-up compositional learning scheme starts with basic parts and composes them into a holistic object model.",text_model_embed200_hidden100
1803.03467v4,How does the dimension of embedding affect the AUC of RippleNet on MovieLens-1M?,147,47,The AUC of RippleNet first increases and then decreases with the increase of the dimension of embedding.,The performance of gFGR generally improves as the shape parameter α increases.,text_model_embed200_hidden100
1611.07718v2,How does the classification error of a residual network change as the average path length increases?,15,92,The classification error of a residual network generally increases as the average path length increases.,"The residual connection adds the output of a layer to the output of another layer, which helps to prevent the vanishing gradient problem.",text_model_embed200_hidden100
1705.07164v8,Which method achieved the highest Inception Score (IS) at the end of training for both CIFAR10 and ImageNet datasets? Did this method also achieve the highest initial IS score?,270,645,"For CIFAR10, WGAN achieved the highest IS at the end of training (2.42). However, RWGAN had a higher initial IS score (1.86) compared to WGAN's 1.63. 

For ImageNet, WGAN again achieved the highest final IS (2.80), while RWGAN had a slightly higher initial IS (2.04 vs. 2.00). ","For all datasets presented, Incremental SVM achieved a slightly lower OFV compared to FISVDD. However, this does not necessarily mean that Incremental SVM is definitively better.",text_model_embed200_hidden100
1605.07496v3,Which of the algorithms performs the best on the robotic arm joint breakage task?,66,607,ALOQ.,KAR,text_model_embed200_hidden100
1805.01216v3,"Why might the authors claim that although BOSSNET achieves a lower BLEU score than Mem2Seq on the SMD dataset, it still performs better in conveying necessary entity information?",318,482,"While BOSSNET has a lower BLEU score than Mem2Seq on SMD, it achieves the highest Entity F1 score on that dataset. This suggests that BOSSNET is better at capturing and including the relevant entities in its responses, even though it may not have as much lexical overlap with the gold responses as Mem2Seq.","The FLoss method performs better than the balanced cross-entropy loss because it can automatically adjust to data imbalance using the F-measure criterion, while the balanced cross-entropy loss relies on pre-defined weights for positive and negative samples.",text_model_embed200_hidden100
1812.00281v3,How does the number of cameras used affect the accuracy of the garment reconstruction?,440,284,The accuracy of the garment reconstruction increases as the number of cameras used increases.,The test accuracy of all models decreases as λ increases.,text_model_embed200_hidden100
1605.07496v3,Which algorithm performs the best in the Joint Breakage experiment?,67,351,ALOQ,DUF,text_model_embed200_hidden100
1603.00286v5,Which agent values the entire share $Z_j$?,54,124,Agent $j$.,The Traffic dataset.,text_model_embed200_hidden100
1701.03077v10,Why did the authors choose to use a nonlinearity to curve α before fitting the cubic hermite spline?,45,226,"The authors chose to use a nonlinearity to curve α before fitting the cubic hermite spline because it allows for increased knot density near α = 2 and decreased knot density when α > 4. This helps to better approximate the log partition function, which is difficult to evaluate for arbitrary inputs.",The RL policy accesses fewer index blocks than the baseline.,text_model_embed200_hidden100
1703.10730v2,What are the inputs to the image generation network?,139,523,The inputs to the image generation network are the observed images (x) and a random noise vector (z).,The AMT workers are being asked to decide whether each of twenty one paragraphs extracted from product reviews is real (written by a person) or fake (written by a computer algorithm).,text_model_embed200_hidden100
1809.00458v1,Which dataset has the highest average record length?,557,451,CaOpenData,VIDXL has the highest Recall@20 and MRR@20.,text_model_embed200_hidden100
1709.02418v2,What is the effect of performing a left-swap on a binary vector y at index j′?,647,358,The left-swap increases the number of misclassified pairs by one.,The UVT cycle link is used to transfer knowledge between two recurrent generators.,text_model_embed200_hidden100
1809.00458v1,What is the relationship between the element-hash value pairs and the signature size?,558,19,"The element-hash value pairs are the elements of the signature, and the signature size is the number of element-hash value pairs in the signature."," The interference graph is a folded version of the query graph. The nodes in the interference graph represent regions, and the edges represent the interference between regions. The edge weights in the interference graph are calculated from the edge weights in the query graph.",text_model_embed200_hidden100
1805.06431v4,What is the purpose of the Cholesky Block in this figure?,427,264,The Cholesky Block is used to distinguish abnormal patterns from normal patterns.,The ancillary heatmap is used to correct the labels for missing or oversegmented objects in the images.,text_model_embed200_hidden100
1809.03149v2,What is the effect of using CHER on the percentage of ads displayed for each user?,599,397,The percentage of ads displayed for each user is higher when CHER is used.,Downsampling reduces the quality of reconstructed frames.,text_model_embed200_hidden100
1809.03449v3,Which model performs the best when trained on 60% of the training data?,607,629,KAR,"ACNN performs best on ""Who"" questions.",text_model_embed200_hidden100
1707.00189v3,"Which model performs best when trained on the NYT dataset and evaluated on the WT14 dataset, and how does its performance compare to the baselines?",500,96,"The Conv-KNRM model performs best when trained on the NYT dataset and evaluated on the WT14 dataset, achieving an nDCG@20 score of 0.3215. This performance is significantly better than all the baselines: BM25 (B), WT10 (W), and AOL (A).","PWC-Net (ft) performs best on the Sintel ""Final"" test set with an error of 5.04. Devon (ft) has a higher error of 6.35 on the same set. ",text_model_embed200_hidden100
1811.02553v4,How does the number of state-action pairs affect the reward landscape for the surrogate and true reward functions?,233,512,"As the number of state-action pairs increases, the reward landscape for both the surrogate and true reward functions becomes smoother and more accurate.",The Leaky Unit helps to aggregate the context information from different sources and allows the model to learn the relationships between entities and their contexts.,text_model_embed200_hidden100
1805.08751v2,What is the role of the GDU and HFLU modules in the FAKEDETECTOR framework?,524,529,"The GDU (Gated Dilated Unit) modules are responsible for extracting features from the input data, while the HFLU (Hybrid Feature Learning Unit) modules are responsible for fusing the features extracted by the GDU modules.","The ""max"" function is used to select the most probable word at each time step in the decoding process.",text_model_embed200_hidden100
1803.04572v2,Which dataset has the largest number of clinical visits per patient?,154,287,CMS,SVHN,text_model_embed200_hidden100
1802.07459v2,What are the different stages involved in constructing the Concept Interaction Graph (CIG) from a pair of documents?,103,426,"The different stages involved in constructing the Concept Interaction Graph (CIG) from a pair of documents are: (a) Representation, (b) Encoding, (c) Transformation, and (d) Aggregation.","The Cholesky block is used to decompose the covariance matrix Σk into a lower triangular matrix and its transpose. This decomposition is used to ensure that the covariance matrix is positive definite, which is a requirement for the Gaussian distribution.",text_model_embed200_hidden100
1707.01917v2,"What does the induced schema Win <A4, B3, C2> represent?",494,399,"The induced schema Win <A4, B3, C2> represents the fact that player A4 won tournament C2, defeating player B3.",The second-stage decoder $D_2$ takes soft edges $x_G$ as input and produces reconstructed frames.,text_model_embed200_hidden100
1608.02784v2,What is the relationship between the input space and the output space in CCA inference?,30,19,The input space and the output space are related by a cosine similarity measure.," The interference graph is a folded version of the query graph. The nodes in the interference graph represent regions, and the edges represent the interference between regions. The edge weights in the interference graph are calculated from the edge weights in the query graph.",text_model_embed200_hidden100
1802.07351v2,Explain the rationale behind using five deformable cost volumes with different hyperparameter settings in Devon's relation module.,94,356,"The five deformable cost volumes in Devon's relation module are designed to capture multi-scale motion by combining dense correspondences near the image center with sparser correspondences in the periphery. This is achieved by using different neighborhood sizes (k) and dilation rates (r) for each cost volume, as shown in Table 1. Smaller neighborhood sizes and dilation rates result in denser correspondences, focusing on finer details and small displacements, while larger values capture broader context and larger motions.",5.00E-05,text_model_embed200_hidden100
1804.05936v2,Which relevance label category of documents received the most significant rank promotion according to the NegPair reduction metric?,247,350,The perfect results received the largest promotions in rank.,TecoGAN,text_model_embed200_hidden100
1811.08257v1,Which operation has the lowest online time?,298,124,ReLU,The Traffic dataset.,text_model_embed200_hidden100
1704.07854v4,How do the parameter network and the deformation network differ in terms of complexity and function?,217,415,"The parameter network is a simple structure with two fully connected layers, while the deformation network is more complex and contains two fully connected layers followed by two or more four-dimensional de-convolution layers. The parameter network learns how to apply multiple long-range, non-linear deformation fields, while the deformation network learns to generate dense deformation fields to refine the final surface.",ChoiceNet,text_model_embed200_hidden100
1811.10673v1,How does the quality of the reconstructed frames change as the quantization level of the soft edge detector increases?,405,50,The quality of the reconstructed frames increases as the quantization level of the soft edge detector increases.," As the value of α increases, the NLL functions become more peaked and the probability density functions become more concentrated around the mean.",text_model_embed200_hidden100
1812.10735v2,Why do you think the performance of all models is generally lower on Rest15 compared to Rest14?,491,353,The performance of all models is generally lower on Rest15 because it has a larger number of aspect categories (13) compared to Rest14 (5). This increased complexity makes it more challenging for the models to accurately identify and classify the aspects.,The PP loss constrains the output sequence to be symmetric by reducing the L2 distance between corresponding frames in the forward and backward passes. This helps to reduce drifting artifacts and improve temporal coherence.,text_model_embed200_hidden100
1809.01246v1,How does the average precision of TCM(256*memory) compare to the other two algorithms in the email-EuAll dataset?,581,361,The average precision of TCM(256*memory) is lower than the other two algorithms in the email-EuAll dataset.,The US-BS-MQ method achieves higher accuracy than the S-MQ method when adding SST examples.,text_model_embed200_hidden100
1809.01246v1,What is the relationship between the table and the graph sketch in the figure?,578,221,"The table provides the mapping between the nodes in the original graph and their corresponding hash values, which are used to create the graph sketch."," The higher the resolution of the simulation, the longer the training time. ",text_model_embed200_hidden100
1805.06447v3,Describe the relationship between the update threshold (Tu) and the performance of ITN (B-CNN) on the MNIST dataset.,475,609,The performance of ITN (B-CNN) on the MNIST dataset decreases as the update threshold (Tu) increases. This is evident from the increasing ITN error percentages as Tu goes from 1e-3 to 1e-1.,The performance of all three models decreases as the proportion of available training examples decreases.,text_model_embed200_hidden100
1803.04572v2,Which constraint has the most significant impact on the FIT values for the CMS data set when the target rank is 15?,148,570,The smoothness constraint on $\M{U_k}$ has the most significant impact on the FIT values for the CMS data set when the target rank is 15.,"LIME appears to place the most emphasis on specific, localized features.",text_model_embed200_hidden100
1803.06506v3,"How does the quality of the output heatmap change when the selected concept, predicted concept, and the real entity to be grounded are all aligned?",165,369,"When the selected concept, predicted concept, and the real entity to be grounded are all aligned, the generated heatmap produces a good localization of the phrase.",Cars have the largest total number of annotations.,text_model_embed200_hidden100
1704.05426v4,Which model performs better on the MultiNLI dataset when considering the percentage of individual labels that match the author's label?,157,390,"SNLI performs better than MultiNLI when considering the percentage of individual labels that match the author's label. SNLI has a score of 85.8%, while MultiNLI has a score of 85.2%.",The most effective attack method at reducing the accuracy of the Resnet-32 model on the MNIST dataset is BIM/CE.,text_model_embed200_hidden100
1809.00458v1,Which algorithm performs better in terms of F1 score and precision when the space used is 5%?,556,415,GB-KMV performs better in terms of F1 score and precision when the space used is 5%.,ChoiceNet,text_model_embed200_hidden100
1809.04276v2,How does the performance of the discriminator in the proposed approach compare to the conventional discriminator in AL? What evidence suggests this difference in performance?,641,589,The discriminator in the author's approach achieves higher accuracy (95.72%) compared to the conventional discriminator in AL (94.01%).,"According to the passage, the variance of the hidden state is approximately equal to the variance of the input in deep layers.",text_model_embed200_hidden100
1702.03584v3,How does the observed error compare to the underlying true error as CPU time increases?,98,235,"The observed error is initially higher than the underlying true error, but it quickly decreases and converges to the true error as CPU time increases.",TRPO generally converges faster to the true gradient than PPO.,text_model_embed200_hidden100
1705.02946v3,"What is the distance from equitability for the allocation that can be obtained by cutting at $x$ with the player order $(1,2)$?",266,363,The distance from equitability is $b-a$.,CDAN-fg,text_model_embed200_hidden100
1701.03077v10,"On which dataset did the gRCC* algorithm achieve the largest relative improvement over the RCC algorithm, and by approximately how much did it improve?",41,446,"The gRCC* algorithm achieved the largest relative improvement over the RCC algorithm on the YTF dataset, with a relative improvement of approximately 31.9%.",The highest Recall@20 score was achieved by the GRU4Rec with additional samples and BPR-max loss function on the RSC15 dataset. This score was 42.37% higher than the Recall@20 score of the original GRU4Rec model on the same dataset.,text_model_embed200_hidden100
1811.02721v3,"Which TCP stack provides the most complete implementation of core TCP features, and which stack lacks the most features?",214,126,"The TCP stack presented in this paper (TCPlp) provides the most complete implementation of core TCP features, including flow control, congestion control, RTT estimation, MSS option, OOO reassembly, and various advanced features like timestamps and selective ACKs. In contrast, BLIP lacks the most features, as it does not implement congestion control, RTT estimation, or several other functionalities present in other stacks.",LST-Skip seems to perform better in predicting electricity consumption.,text_model_embed200_hidden100
1707.01917v2,What is the shape of the tensor $x^1$ for the Shootings dataset?,496,371,The shape of the tensor $x^1$ for the Shootings dataset is 3365 x 1295 x 50.,City Street,text_model_embed200_hidden100
1811.08481v2,Which estimator achieves the highest accuracy on the CLEVR validation set?,336,337,Size estimator.,UnCoRd-None-B.,text_model_embed200_hidden100
1804.04410v2,How does the performance of the learned policy compare to the production baseline for CAT2 queries in terms of relevance and efficiency?,227,483,"For CAT2 queries, the learned policy shows a slight improvement in relevance (NCG) for the weighted set and a significant reduction in index blocks accessed for both weighted and unweighted sets."," 

Increasing the value of β2 decreases the precision and increases the recall of the model.",text_model_embed200_hidden100
1812.00281v3,What is the relationship between the camera yaw angle and the silhouette distance?,433,138,The silhouette distance generally increases as the camera yaw angle increases.,The input patches are used to generate the images. The generator network takes the input patches as input and generates new images that are similar to the input patches.,text_model_embed200_hidden100
1901.00398v2," Which type of review was more accurately identified by the human evaluators, human-written or machine-generated? ",521,620,The human evaluators were more accurate at identifying human-written reviews than machine-generated reviews.,Outcome Regression (OR),text_model_embed200_hidden100
1608.02784v2,What is the role of the temperature variable t in the CCA decoding algorithm?,31,544,"The temperature variable t controls the probability of accepting a new candidate solution y. As t decreases, the probability of accepting a worse solution decreases.",The residual connections add the output of the previous layer to the input of the next layer. This helps to improve the flow of information through the network and can help to prevent vanishing gradients.,text_model_embed200_hidden100
1707.06320v2,How do the word embeddings learned by the Cap2Img model compare to the original GloVe embeddings in terms of semantic similarity?,528,617,The word embeddings learned by the Cap2Img model outperform the original GloVe embeddings in terms of semantic similarity.,The learned graph assigns weights that correspond much better to the relevance of the terms compared to k-NN and A-NN graphs.,text_model_embed200_hidden100
1707.01917v2,Which method achieves the highest accuracy on the Shootings dataset?,499,285,TFBA,PC-DenseNet-161,text_model_embed200_hidden100
