paper_id,question,true_label,predicted_label,true_answer,predicted_answer,model_name
1611.02654v2,Which model performed the best on the SICK dataset according to the MSE metric?,33,549,The supervised model performed the best on the SICK dataset according to the MSE metric.,"The CoNLL model performed best on the WikiCoref dataset, with an F1 score of 53.40 when using the +linguistic evaluation metric.",text_model_embed100_hidden50
1811.08257v1,Which framework has the lowest total communication cost for MNIST?,292,334,FALCON,"The answering procedure follows the question graph, searching for a valid assignment in the image. At each step, the handled node is set and objects (extracted using Mask R-CNN) are examined according to the node’s requirements (utilizing corresponding visual estimators). If successful, a new node is set (according to a DFS traversal) and the function is called again to handle the unassigned subgraph.",text_model_embed100_hidden50
1611.03780v2,How is the Hilbert space-filling curve constructed?,17,218,"The Hilbert space-filling curve is constructed recursively. The curve starts with a simple square, and then at each subsequent iteration, the curve is subdivided into four smaller squares. The curve is then drawn through each of these squares in a specific order.",The corrected gradient method leads to a more stable and lower loss value during training.,text_model_embed100_hidden50
1707.00524v2,What is the difference between the encoder and decoder networks in the action-conditional prediction model?,488,221,The encoder network takes a one-hot action and the current state as input and outputs a latent representation of the state. The decoder network takes the latent representation and outputs a prediction of the next state.," The higher the resolution of the simulation, the longer the training time. ",text_model_embed100_hidden50
1804.07849v4,"According to the ablation experiments, which factor contributes the most to the best model's performance compared to the baseline model?",254,513,Morphological modeling with LSTMs contributes the most to the best model's performance compared to the baseline model.,The largest performance gap is observed in the PubMed + UMLS dataset using the F1@K metric with K=1.,text_model_embed100_hidden50
1811.09393v4,Which method has the best perceptual performance according to the tOF score?,349,415,TecoGAN.,ChoiceNet,text_model_embed100_hidden50
1805.04687v2,"Why does the proposed dataset have a lower number of persons per image compared to the Cityscapes dataset, even though it has a much higher total number of pedestrians?",375,469,"The proposed dataset contains non-city scenes like highways, which typically have fewer pedestrians per image compared to cityscapes.","When trained with only 1% of the MNIST training data, ITN (B-CNN) (w/ DA) performs the best with a testing error of 2.78%. Data augmentation further improves its performance by 0.4%, bringing the testing error down to 2.78% from 3.18% achieved by ITN (B-CNN) without data augmentation.",text_model_embed100_hidden50
1812.00281v3,"What is the difference between the ""median appearance"" and the ""view-specific appearance""?",442,193,"The median appearance is the average of all the multiview images, while the view-specific appearance is a single image that is rendered from a specific viewpoint.","The representation task takes an appearance as input and outputs an RGB value, while the learning-to-learn task takes an image as input and outputs a DAM representation.",text_model_embed100_hidden50
1805.08465v3,Which steganography method achieves the best performance in terms of distortion for both cover and secret images when embedding 2 bits per channel?,514,51,The proposed method achieves the best performance for both cover and secret images when embedding 2 bits per channel.,The proposed method appears to be more accurate than the baseline method. The depth maps generated by the proposed method are more detailed and realistic than those generated by the baseline method.,text_model_embed100_hidden50
1811.02553v4,How does the number of state-action pairs affect the optimization landscape for the PPO algorithm?,234,132,"As the number of state-action pairs increases, the optimization landscape becomes more complex and has more local optima. This makes it more difficult for the PPO algorithm to find the global optimum.",The BLEU score decreases as the initial accuracy of the discriminator increases.,text_model_embed100_hidden50
1805.04687v2,How does the BDD100K dataset compare to the KITTI and MOT17 datasets in terms of size and complexity?,386,634,"The BDD100K dataset is significantly larger and more complex than both the KITTI and MOT17 datasets. It contains roughly 40 times more frames, 16 times more sequences, and 13 times more identities than KITTI. Compared to MOT17, BDD100K has about 10 times more frames, 80 times more sequences, and 8 times more identities. This increase in size and complexity makes BDD100K a more challenging and comprehensive benchmark for multiple object tracking algorithms. ","VAGER+Voting consistently outperforms all other VAGER variants in both 1-shot and 20-shot settings, achieving the highest AUC and F1 scores.",text_model_embed100_hidden50
1707.08608v3,Which genre in the SRL-NW network has the lowest failure rate and how does its inference time compare to other genres within the same network?,530,37,"The PT genre within the SRL-NW network has the lowest failure rate at 10.01%. Its inference time is also the lowest across all genres in the SRL-NW network for all three inference procedures (Viterbi, GBI, and A*).","The proposed model has the highest accuracy on the NIPS Abstracts dataset, with an accuracy of 51.55.",text_model_embed100_hidden50
1804.05938v2,"Which correction method resulted in the best performance in terms of nDCG@10 and ERR@10, and how does it compare to not using any correction method?",322,105,"The DNN trained with DLA achieved the best performance in terms of both nDCG@10 (0.421) and ERR@10 (0.582). Compared to not using any correction method (NoCorrect), DLA shows a significant improvement in both metrics, with nDCG@10 being higher by 0.063 and ERR@10 being higher by 0.082.",The C-Tarone method has higher precision and F-measure than the binarization method in all datasets. The C-Tarone method has better or competitive recall than the binarization method. The running time of the C-Tarone method is competitive with the binarization method.,text_model_embed100_hidden50
1704.07854v4,"Which of the two scenes, Drop or Staris, requires more computation time for rendering?",220,378,Staris,Cars are the most common object in the dataset.,text_model_embed100_hidden50
1605.07496v3,How does the predicted return change as a function of θ for a fixed value of π = 1.5?,70,284,"The predicted return decreases as θ increases, with a minimum at around θ = 0.5.",The test accuracy of all models decreases as λ increases.,text_model_embed100_hidden50
1812.06589v2,What is the role of the frame discriminator in the proposed method?,464,544,The frame discriminator is used to detect whether the generated frame and audio are matched or not.,The residual connections add the output of the previous layer to the input of the next layer. This helps to improve the flow of information through the network and can help to prevent vanishing gradients.,text_model_embed100_hidden50
1809.01989v2,Which method achieved the highest tracking accuracy in terms of minimizing the sum of absolute percentage errors? Does this necessarily mean it had the best overall performance?,646,469,"The Ridge method achieved the lowest sum of absolute percentage errors (136.84), indicating the highest tracking accuracy in terms of minimizing absolute deviations from the index. However, this doesn't necessarily translate to the best overall performance.","When trained with only 1% of the MNIST training data, ITN (B-CNN) (w/ DA) performs the best with a testing error of 2.78%. Data augmentation further improves its performance by 0.4%, bringing the testing error down to 2.78% from 3.18% achieved by ITN (B-CNN) without data augmentation.",text_model_embed100_hidden50
1704.07854v4,Which of the methods is able to reconstruct the shape of the liquid properly?,223,284,Only the full method with a deformation network is able to produce a perfect reconstruction.,The test accuracy of all models decreases as λ increases.,text_model_embed100_hidden50
1705.09966v2,What is the difference between the input and output of the frontal face generation process?,344,10,The input is a low-resolution frontal face image and a high-resolution side-face image. The output is a high-resolution frontal face image.,"The residual block assembles two residual branches sequentially, while the merge-and-run block assembles the same two residual branches in parallel.",text_model_embed100_hidden50
1805.06431v4,Which of the four methods has the best performance in terms of average error for the step function?,423,100,The proposed method.,The SPIRAL-MSM-kMeans method performs the best in terms of NMI with a score of 0.365. It outperforms the other methods on 89.4% of the datasets.,text_model_embed100_hidden50
1705.09882v2,How does the proposed split-rate RGB-to-Depth transfer scheme differ from the R3D [90] method of Yosinski et al.?,326,339,"The proposed split-rate RGB-to-Depth transfer scheme differs from the R3D [90] method in two ways. First, the proposed method uses a different learning rate for the bottom three layers of the network. Second, the proposed method uses a different initialization for the weights of the bottom three layers of the network.",The proposed method produces more realistic and natural-looking images than the method in~\cite{kim2017learning}.,text_model_embed100_hidden50
1812.06589v2,Which method performed the best according to the LMD metric?,463,415,AMIE (Ours),ChoiceNet,text_model_embed100_hidden50
1706.08146v3,What is the effect of increasing the projection dimension d on the approximation error for sparse PCA and NMF?,505,29,Increasing the projection dimension d decreases the approximation error for both sparse PCA and NMF.,The singular value decomposition step is used to find the projection matrices U and V.,text_model_embed100_hidden50
1603.00286v5,What is the minimum number of sides that a rectilinear polygon with four reflex vertices must have?,58,264,Six.,The ancillary heatmap is used to correct the labels for missing or oversegmented objects in the images.,text_model_embed100_hidden50
1704.05426v4,Which type of word has the greatest difference in frequency of occurrence between MultiNLI and SNLI?,156,190,Negation (PTB),"The ""OUR"" method performs best for the ""Representation"" task when the view is ""Novel"".",text_model_embed100_hidden50
1811.02721v3,How does varying the buffer size affect TCP goodput?,205,316,"Increasing the buffer size generally leads to increased TCP goodput, but only up to a certain point.",The encoder understands the last user utterance by using the memory cell representations of the dialog history and KB tuples.,text_model_embed100_hidden50
1805.04687v2,Which category of object is the least common in the dataset?,385,378,Train,Cars are the most common object in the dataset.,text_model_embed100_hidden50
1703.02507v3,Which dataset has the shortest average sentence length?,85,349,Headlines.,TecoGAN.,text_model_embed100_hidden50
1608.02784v2,What is the relationship between BLEU score and human ranking for CCA and SMT systems?,32,595,The correlation between BLEU scores and human ranking is not high for either CCA or SMT systems.,"The relationship between position and CTR is complex and non-linear. In general, CTR decreases as position increases, but there are also local peaks and valleys in the CTR curve. This suggests that there are other factors besides position that affect CTR.",text_model_embed100_hidden50
1803.03467v4,How does the dimension of embedding affect the AUC of RippleNet on MovieLens-1M?,147,132,The AUC of RippleNet first increases and then decreases with the increase of the dimension of embedding.,The BLEU score decreases as the initial accuracy of the discriminator increases.,text_model_embed100_hidden50
1611.07718v2,How does the classification error of a residual network change as the average path length increases?,15,284,The classification error of a residual network generally increases as the average path length increases.,The test accuracy of all models decreases as λ increases.,text_model_embed100_hidden50
1705.07164v8,Which method achieved the highest Inception Score (IS) at the end of training for both CIFAR10 and ImageNet datasets? Did this method also achieve the highest initial IS score?,270,448,"For CIFAR10, WGAN achieved the highest IS at the end of training (2.42). However, RWGAN had a higher initial IS score (1.86) compared to WGAN's 1.63. 

For ImageNet, WGAN again achieved the highest final IS (2.80), while RWGAN had a slightly higher initial IS (2.04 vs. 2.00). ","The VIDXL dataset contains the most interactions (events) in the training set with 69,312,698 events. This is roughly 7.7 times larger than the RSC15 dataset, which has the least interactions (9,011,321) in the training set. ",text_model_embed100_hidden50
1605.07496v3,Which of the algorithms performs the best on the robotic arm joint breakage task?,66,350,ALOQ.,TecoGAN,text_model_embed100_hidden50
1805.01216v3,"Why might the authors claim that although BOSSNET achieves a lower BLEU score than Mem2Seq on the SMD dataset, it still performs better in conveying necessary entity information?",318,571,"While BOSSNET has a lower BLEU score than Mem2Seq on SMD, it achieves the highest Entity F1 score on that dataset. This suggests that BOSSNET is better at capturing and including the relevant entities in its responses, even though it may not have as much lexical overlap with the gold responses as Mem2Seq.","The ""Last contact"" feature shows a strong positive influence on the SSL score because it is likely correlated with other features that are used by the algorithm. As the passage mentions, data-driven methods like MIM can assign influence to features that are not directly used by the model if they are correlated with other influential features. In this case, a recent ""Last contact"" date might be correlated with a higher number of recent offenses or other factors that contribute to a higher SSL score.",text_model_embed100_hidden50
1812.00281v3,How does the number of cameras used affect the accuracy of the garment reconstruction?,440,132,The accuracy of the garment reconstruction increases as the number of cameras used increases.,The BLEU score decreases as the initial accuracy of the discriminator increases.,text_model_embed100_hidden50
1605.07496v3,Which algorithm performs the best in the Joint Breakage experiment?,67,637,ALOQ,VAGER + Voting,text_model_embed100_hidden50
1603.00286v5,Which agent values the entire share $Z_j$?,54,360,Agent $j$.,US-HC-MQ,text_model_embed100_hidden50
1701.03077v10,Why did the authors choose to use a nonlinearity to curve α before fitting the cubic hermite spline?,45,415,"The authors chose to use a nonlinearity to curve α before fitting the cubic hermite spline because it allows for increased knot density near α = 2 and decreased knot density when α > 4. This helps to better approximate the log partition function, which is difficult to evaluate for arbitrary inputs.",ChoiceNet,text_model_embed100_hidden50
1703.10730v2,What are the inputs to the image generation network?,139,359,The inputs to the image generation network are the observed images (x) and a random noise vector (z).,The user study is designed to test which of two images is closer to a reference video.,text_model_embed100_hidden50
1809.00458v1,Which dataset has the highest average record length?,557,551,CaOpenData,GB-KMV,text_model_embed100_hidden50
1709.02418v2,What is the effect of performing a left-swap on a binary vector y at index j′?,647,415,The left-swap increases the number of misclassified pairs by one.,ChoiceNet,text_model_embed100_hidden50
1809.00458v1,What is the relationship between the element-hash value pairs and the signature size?,558,329,"The element-hash value pairs are the elements of the signature, and the signature size is the number of element-hash value pairs in the signature.","The Bernoulli parameter is a measure of the probability of a pixel being foreground or background. The higher the Bernoulli parameter, the more likely the pixel is to be foreground. This is reflected in the images, where the pixels with higher Bernoulli parameters are more likely to be part of the person's silhouette.",text_model_embed100_hidden50
1805.06431v4,What is the purpose of the Cholesky Block in this figure?,427,517,The Cholesky Block is used to distinguish abnormal patterns from normal patterns.,The task-irrelevant data is used to simulate the RGB representation using the gray scale image. This allows ZDDA to learn a joint network that can be used to classify digits in both the gray scale and RGB domains.,text_model_embed100_hidden50
1809.03149v2,What is the effect of using CHER on the percentage of ads displayed for each user?,599,426,The percentage of ads displayed for each user is higher when CHER is used.,"The Cholesky block is used to decompose the covariance matrix Σk into a lower triangular matrix and its transpose. This decomposition is used to ensure that the covariance matrix is positive definite, which is a requirement for the Gaussian distribution.",text_model_embed100_hidden50
1809.03449v3,Which model performs the best when trained on 60% of the training data?,607,350,KAR,TecoGAN,text_model_embed100_hidden50
1707.00189v3,"Which model performs best when trained on the NYT dataset and evaluated on the WT14 dataset, and how does its performance compare to the baselines?",500,527,"The Conv-KNRM model performs best when trained on the NYT dataset and evaluated on the WT14 dataset, achieving an nDCG@20 score of 0.3215. This performance is significantly better than all the baselines: BM25 (B), WT10 (W), and AOL (A).","The GroundSent-Both model performs best on the SNLI dataset, achieving an accuracy of 72.0%. Grounding contributes to an improvement of 4.7% compared to the baseline STb-1024 model, which achieves 67.3%.",text_model_embed100_hidden50
1811.02553v4,How does the number of state-action pairs affect the reward landscape for the surrogate and true reward functions?,233,291,"As the number of state-action pairs increases, the reward landscape for both the surrogate and true reward functions becomes smoother and more accurate.",The setup and online time for the Softmax increases as the number of classes increases.,text_model_embed100_hidden50
1805.08751v2,What is the role of the GDU and HFLU modules in the FAKEDETECTOR framework?,524,263,"The GDU (Gated Dilated Unit) modules are responsible for extracting features from the input data, while the HFLU (Hybrid Feature Learning Unit) modules are responsible for fusing the features extracted by the GDU modules.",The self-correction module refines the segmentations generated by the ancillary and current primary model for the weak set.,text_model_embed100_hidden50
1803.04572v2,Which dataset has the largest number of clinical visits per patient?,154,287,CMS,SVHN,text_model_embed100_hidden50
1802.07459v2,What are the different stages involved in constructing the Concept Interaction Graph (CIG) from a pair of documents?,103,546,"The different stages involved in constructing the Concept Interaction Graph (CIG) from a pair of documents are: (a) Representation, (b) Encoding, (c) Transformation, and (d) Aggregation.",1,text_model_embed100_hidden50
1707.01917v2,"What does the induced schema Win <A4, B3, C2> represent?",494,177,"The induced schema Win <A4, B3, C2> represents the fact that player A4 won tournament C2, defeating player B3.",The probability of repaying a debt increases with credit score.,text_model_embed100_hidden50
1608.02784v2,What is the relationship between the input space and the output space in CCA inference?,30,197,The input space and the output space are related by a cosine similarity measure.,The 3D ConvNet is used to extract features from the input images. These features are then used to generate place-based feature descriptions.,text_model_embed100_hidden50
1802.07351v2,Explain the rationale behind using five deformable cost volumes with different hyperparameter settings in Devon's relation module.,94,600,"The five deformable cost volumes in Devon's relation module are designed to capture multi-scale motion by combining dense correspondences near the image center with sparser correspondences in the periphery. This is achieved by using different neighborhood sizes (k) and dilation rates (r) for each cost volume, as shown in Table 1. Smaller neighborhood sizes and dilation rates result in denser correspondences, focusing on finer details and small displacements, while larger values capture broader context and larger motions.",MSDNNet38,text_model_embed100_hidden50
1804.05936v2,Which relevance label category of documents received the most significant rank promotion according to the NegPair reduction metric?,247,415,The perfect results received the largest promotions in rank.,ChoiceNet,text_model_embed100_hidden50
1811.08257v1,Which operation has the lowest online time?,298,360,ReLU,US-HC-MQ,text_model_embed100_hidden50
1704.07854v4,How do the parameter network and the deformation network differ in terms of complexity and function?,217,284,"The parameter network is a simple structure with two fully connected layers, while the deformation network is more complex and contains two fully connected layers followed by two or more four-dimensional de-convolution layers. The parameter network learns how to apply multiple long-range, non-linear deformation fields, while the deformation network learns to generate dense deformation fields to refine the final surface.",The test accuracy of all models decreases as λ increases.,text_model_embed100_hidden50
1811.10673v1,How does the quality of the reconstructed frames change as the quantization level of the soft edge detector increases?,405,112,The quality of the reconstructed frames increases as the quantization level of the soft edge detector increases.,The average metadata required per node for the Op-based BP+RR approach increases as the number of nodes in the network increases.,text_model_embed100_hidden50
1812.10735v2,Why do you think the performance of all models is generally lower on Rest15 compared to Rest14?,491,415,The performance of all models is generally lower on Rest15 because it has a larger number of aspect categories (13) compared to Rest14 (5). This increased complexity makes it more challenging for the models to accurately identify and classify the aspects.,ChoiceNet,text_model_embed100_hidden50
1809.01246v1,How does the average precision of TCM(256*memory) compare to the other two algorithms in the email-EuAll dataset?,581,526,The average precision of TCM(256*memory) is lower than the other two algorithms in the email-EuAll dataset.,"GroundSent-Cap appears to be most beneficial for the MRPC task, achieving an accuracy of 72.9/82.2 compared to the baseline model ST-LN's 69.6/81.2.",text_model_embed100_hidden50
1809.01246v1,What is the relationship between the table and the graph sketch in the figure?,578,29,"The table provides the mapping between the nodes in the original graph and their corresponding hash values, which are used to create the graph sketch.",The singular value decomposition step is used to find the projection matrices U and V.,text_model_embed100_hidden50
1805.06447v3,Describe the relationship between the update threshold (Tu) and the performance of ITN (B-CNN) on the MNIST dataset.,475,513,The performance of ITN (B-CNN) on the MNIST dataset decreases as the update threshold (Tu) increases. This is evident from the increasing ITN error percentages as Tu goes from 1e-3 to 1e-1.,The largest performance gap is observed in the PubMed + UMLS dataset using the F1@K metric with K=1.,text_model_embed100_hidden50
1803.04572v2,Which constraint has the most significant impact on the FIT values for the CMS data set when the target rank is 15?,148,221,The smoothness constraint on $\M{U_k}$ has the most significant impact on the FIT values for the CMS data set when the target rank is 15.," The higher the resolution of the simulation, the longer the training time. ",text_model_embed100_hidden50
1803.06506v3,"How does the quality of the output heatmap change when the selected concept, predicted concept, and the real entity to be grounded are all aligned?",165,123,"When the selected concept, predicted concept, and the real entity to be grounded are all aligned, the generated heatmap produces a good localization of the phrase.","When the sample size is 2000, the two-phase framework (MSG) achieves lower discrimination in prediction compared to DI, both with and without classifier tweaking.

With classifier tweaking: MSG achieves a discrimination level of 0.016 ± 5.3E-4, while DI shows a significantly higher level of 0.095 ± 1.6E-3.
Without classifier tweaking: MSG still demonstrates lower discrimination with 0.067 ± 4.3E-3 compared to DI's 0.095 ± 1.6E-3.

This indicates that the two-phase framework is more effective in removing discrimination from predictions than DI, regardless of whether classifier tweaking is applied.",text_model_embed100_hidden50
1704.05426v4,Which model performs better on the MultiNLI dataset when considering the percentage of individual labels that match the author's label?,157,312,"SNLI performs better than MultiNLI when considering the percentage of individual labels that match the author's label. SNLI has a score of 85.8%, while MultiNLI has a score of 85.2%.",BoSsNet,text_model_embed100_hidden50
1809.00458v1,Which algorithm performs better in terms of F1 score and precision when the space used is 5%?,556,562,GB-KMV performs better in terms of F1 score and precision when the space used is 5%.,GB-KMV performs better than LSH-E in terms of F1 Score and Precision.,text_model_embed100_hidden50
1809.04276v2,How does the performance of the discriminator in the proposed approach compare to the conventional discriminator in AL? What evidence suggests this difference in performance?,641,18,The discriminator in the author's approach achieves higher accuracy (95.72%) compared to the conventional discriminator in AL (94.01%).,"GeoCUTS consistently outperforms the Grid method in identifying highly mobile clusters, regardless of the number of clusters. However, the performance of both methods decreases as the number of clusters increases.",text_model_embed100_hidden50
1702.03584v3,How does the observed error compare to the underlying true error as CPU time increases?,98,129,"The observed error is initially higher than the underlying true error, but it quickly decreases and converges to the true error as CPU time increases.","The LSTNet model has four main types of layers:

1. Convolutional layer: This layer extracts local dependency patterns from the input data. 
2. Recurrent and recurrent-skip layer: These layers capture long-term dependencies in the data. 
3. Fully connected and element-wise sum output layer: This layer combines the outputs from the convolutional and recurrent layers to produce the final prediction.
4. Autoregressive layer: This layer provides a linear bypass to the non-linear neural network part of the model. 

The convolutional layer receives the input data and passes its output to the recurrent and recurrent-skip layers. These layers then pass their output to the fully connected and element-wise sum output layer. The autoregressive layer receives the input data directly and its output is also fed into the fully connected and element-wise sum output layer.",text_model_embed100_hidden50
1705.02946v3,"What is the distance from equitability for the allocation that can be obtained by cutting at $x$ with the player order $(1,2)$?",266,93,The distance from equitability is $b-a$.,The relation module (Rt) is responsible for capturing the spatial relationships between the features extracted from the first and second images.,text_model_embed100_hidden50
1701.03077v10,"On which dataset did the gRCC* algorithm achieve the largest relative improvement over the RCC algorithm, and by approximately how much did it improve?",41,607,"The gRCC* algorithm achieved the largest relative improvement over the RCC algorithm on the YTF dataset, with a relative improvement of approximately 31.9%.",KAR,text_model_embed100_hidden50
1811.02721v3,"Which TCP stack provides the most complete implementation of core TCP features, and which stack lacks the most features?",214,350,"The TCP stack presented in this paper (TCPlp) provides the most complete implementation of core TCP features, including flow control, congestion control, RTT estimation, MSS option, OOO reassembly, and various advanced features like timestamps and selective ACKs. In contrast, BLIP lacks the most features, as it does not implement congestion control, RTT estimation, or several other functionalities present in other stacks.",TecoGAN,text_model_embed100_hidden50
1707.01917v2,What is the shape of the tensor $x^1$ for the Shootings dataset?,496,493,The shape of the tensor $x^1$ for the Shootings dataset is 3365 x 1295 x 50.,Aspect-level sentiment classification (ALSC) and aspect category detection (ACD).,text_model_embed100_hidden50
1811.08481v2,Which estimator achieves the highest accuracy on the CLEVR validation set?,336,337,Size estimator.,UnCoRd-None-B.,text_model_embed100_hidden50
1804.04410v2,How does the performance of the learned policy compare to the production baseline for CAT2 queries in terms of relevance and efficiency?,227,424,"For CAT2 queries, the learned policy shows a slight improvement in relevance (NCG) for the weighted set and a significant reduction in index blocks accessed for both weighted and unweighted sets.","ChoiceNet generally performs well compared to other methods, achieving the highest accuracy on both symmetric noise settings (sym-50% and sym-20%). However, it falls to second place under the Pair-45% asymmetric noise setting, indicating a weakness in handling this specific type of noise.",text_model_embed100_hidden50
