image_path,true_label,predicted_label,true_answer,predicted_answer,model_name
OverheatData/OverheatData\1707.08608v3\1707.08608v3-Table4-1.png,535,376,Beam search with a width of 9 consistently leads to the highest F1 score on the failure set across all three networks.,"As the threshold (τ) increases, the ODS-F scores for direction, continuity, and category generally increase as well. This indicates that the model performs better in detecting lane markings with higher thresholds, meaning it can tolerate larger deviations from the ground truth annotations.",resnet101
OverheatData/OverheatData\1710.05654v2\1710.05654v2-Figure5-1.png,614,454,The log model.,Action Search,resnet101
OverheatData/OverheatData\1804.05936v2\1804.05936v2-Figure1-1.png,248,81,The GRU is used to process the ranked list of documents provided by a global ranking function.,The noisy version q̂t at time t is equal to the true market state qt plus a sum of Laplace noise vectors obtained by following the arrows all the way back to 0.,resnet101
OverheatData/OverheatData\1704.08615v2\1704.08615v2-Figure5-1.png,232,447,The fixation density map predicts the probability of a person fixating on a particular location in the image. The ground truth fixations are the actual locations where people fixated on the image.,GRU4Rec has a slightly higher performance than the baseline in terms of watch time.,resnet101
OverheatData/OverheatData\1811.02721v3\1811.02721v3-Table9-1.png,214,67,"The TCP stack presented in this paper (TCPlp) provides the most complete implementation of core TCP features, including flow control, congestion control, RTT estimation, MSS option, OOO reassembly, and various advanced features like timestamps and selective ACKs. In contrast, BLIP lacks the most features, as it does not implement congestion control, RTT estimation, or several other functionalities present in other stacks.",ALOQ,resnet101
OverheatData/OverheatData\1809.02731v3\1809.02731v3-Table3-1.png,594,257,The Bijective model performs the best on the STS16 task with unsupervised training.,The BiLSTM takes as input the character-level representations of the words and outputs a word-level representation for each word.,resnet101
OverheatData/OverheatData\1802.07459v2\1802.07459v2-Figure2-1.png,103,453,"The different stages involved in constructing the Concept Interaction Graph (CIG) from a pair of documents are: (a) Representation, (b) Encoding, (c) Transformation, and (d) Aggregation.","The three main components of the Action Search model architecture are the visual encoder, the LSTM, and the spotting target.",resnet101
OverheatData/OverheatData\1812.00281v3\1812.00281v3-Table8-1.png,439,22,Training with UP-3D + HUMBI resulted in the lowest prediction error for both UP-3D and HUMBI test sets.,"Both GeoCUTS and Linear Embedding produced the smallest cut size for highly active users, with a cut size of 4%. This is 11% smaller than the cut size produced by grid partitioning, which had a cut size of 15%.",resnet101
OverheatData/OverheatData\1811.10673v1\1811.10673v1-Figure2-1.png,399,12,The second-stage decoder $D_2$ takes soft edges $x_G$ as input and produces reconstructed frames.,DMRNet,resnet101
OverheatData/OverheatData\1809.01989v2\1809.01989v2-Table1-1.png,646,184,"The Ridge method achieved the lowest sum of absolute percentage errors (136.84), indicating the highest tracking accuracy in terms of minimizing absolute deviations from the index. However, this doesn't necessarily translate to the best overall performance.",The VQA dataset presents the biggest challenge.,resnet101
OverheatData/OverheatData\1809.01246v1\1809.01246v1-TableI-1.png,580,157,GSS (no sampling),"SNLI performs better than MultiNLI when considering the percentage of individual labels that match the author's label. SNLI has a score of 85.8%, while MultiNLI has a score of 85.2%.",resnet101
OverheatData/OverheatData\1803.06506v3\1803.06506v3-Figure2-1.png,164,121,The Joint Attention Module takes the embedded image and phrase features as input and uses them to induce a parameterization for spatial attention. This spatial attention map is then used by the decoder to predict the common concept.,The hierarchical part dictionary learned with the bottom-up process is a set of parts that can be combined to create objects. The holistic object model learned with the top-down process is a single model that represents the entire object.,resnet101
OverheatData/OverheatData\1710.06177v2\1710.06177v2-Table1-1.png,634,376,"VAGER+Voting consistently outperforms all other VAGER variants in both 1-shot and 20-shot settings, achieving the highest AUC and F1 scores.","As the threshold (τ) increases, the ODS-F scores for direction, continuity, and category generally increase as well. This indicates that the model performs better in detecting lane markings with higher thresholds, meaning it can tolerate larger deviations from the ground truth annotations.",resnet101
OverheatData/OverheatData\1812.10735v2\1812.10735v2-Table1-1.png,490,514,Rest14 has a higher proportion of sentences containing multiple aspects compared to Rest15.,The proposed method achieves the best performance for both cover and secret images when embedding 2 bits per channel.,resnet101
OverheatData/OverheatData\1605.07496v3\1605.07496v3-Figure3-1.png,66,217,ALOQ.,"The parameter network is a simple structure with two fully connected layers, while the deformation network is more complex and contains two fully connected layers followed by two or more four-dimensional de-convolution layers. The parameter network learns how to apply multiple long-range, non-linear deformation fields, while the deformation network learns to generate dense deformation fields to refine the final surface.",resnet101
OverheatData/OverheatData\1708.03797v1\1708.03797v1-Table2-1.png,584,322,HDMF achieved the best overall performance.,"The DNN trained with DLA achieved the best performance in terms of both nDCG@10 (0.421) and ERR@10 (0.582). Compared to not using any correction method (NoCorrect), DLA shows a significant improvement in both metrics, with nDCG@10 being higher by 0.063 and ERR@10 being higher by 0.082.",resnet101
OverheatData/OverheatData\1805.06431v4\1805.06431v4-Figure14-1.png,422,12,The WideResNet model has higher accuracy than the ChoiceNet model on the CIFAR-10 dataset with 50% random shuffle.,DMRNet,resnet101
OverheatData/OverheatData\1704.05426v4\1704.05426v4-Table3-1.png,158,645,"The genre with the highest percentage of 'S' parses is **9/11**, with **99%** of its sentences receiving this parse. This is higher than the overall average for the MultiNLI corpus, which sits at **91%**.","For all datasets presented, Incremental SVM achieved a slightly lower OFV compared to FISVDD. However, this does not necessarily mean that Incremental SVM is definitively better.",resnet101
OverheatData/OverheatData\1705.09966v2\1705.09966v2-Figure13-1.png,344,370,The input is a low-resolution frontal face image and a high-resolution side-face image. The output is a high-resolution frontal face image.,The segmentation model learns to interpolate in areas that have no lane markings.,resnet101
OverheatData/OverheatData\1809.00263v5\1809.00263v5-Figure6-1.png,545,42,The sampled vector is element-wise multiplied by the feature map of $\sigma$ and added to the feature map of $\mu$.,"The shape parameter α controls the shape of the loss function. As α increases, the loss function becomes more peaked, and as α decreases, the loss function becomes more flat.",resnet101
OverheatData/OverheatData\1710.05654v2\1710.05654v2-Figure15-1.png,610,607,The time needed for learning a graph with a subset of allowed edges $\mathcal{E}^\text{allowed}$ increases linearly as the number of edges per node increases.,KAR,resnet101
OverheatData/OverheatData\1805.06431v4\1805.06431v4-Table2-1.png,424,157,"ChoiceNet generally performs well compared to other methods, achieving the highest accuracy on both symmetric noise settings (sym-50% and sym-20%). However, it falls to second place under the Pair-45% asymmetric noise setting, indicating a weakness in handling this specific type of noise.","SNLI performs better than MultiNLI when considering the percentage of individual labels that match the author's label. SNLI has a score of 85.8%, while MultiNLI has a score of 85.2%.",resnet101
OverheatData/OverheatData\1703.10730v2\1703.10730v2-Figure7-1.png,137,140,"The network initially focuses on predicting a good mask. As the epoch increases, the input parts become sharper. Finally, the network concentrates on generating realistic images.","The presence of noise in the input image can degrade the quality of the generated images, but the proposed algorithm is still able to generate realistic images even with a certain amount of noise.",resnet101
OverheatData/OverheatData\1702.03584v3\1702.03584v3-Figure2-1.png,99,290,SPIRAL-DTW-kMeans performs better than k-Shape and CLDS on most datasets.,"In the frequency domain, convolution is represented by element-wise multiplication.",resnet101
OverheatData/OverheatData\1805.06431v4\1805.06431v4-Table15-1.png,421,463,"When there is no label corruption (p = 0%), Mixup achieves the highest test accuracy of 79.77%. However, as the corruption level increases, Mixup's performance deteriorates more rapidly compared to other methods. ChoiceNet, on the other hand, demonstrates a more stable performance across different corruption levels, maintaining the highest accuracy when p is 10%, 20%, 30%, and 40%.",AMIE (Ours),resnet101
OverheatData/OverheatData\1804.05936v2\1804.05936v2-Table4-1.png,252,376,"LambdaMART initial list, DLCM model, and AttRank loss function achieved the best overall performance on the Yahoo! set 1, with an nDCG@10 of 0.743 and an ERR@10 of 0.453.","As the threshold (τ) increases, the ODS-F scores for direction, continuity, and category generally increase as well. This indicates that the model performs better in detecting lane markings with higher thresholds, meaning it can tolerate larger deviations from the ground truth annotations.",resnet101
OverheatData/OverheatData\1809.00458v1\1809.00458v1-TableI-1.png,554,645,"The Jaccard similarity measures the overlap between two sets, while the containment similarity measures how much one set is contained within another set.","For all datasets presented, Incremental SVM achieved a slightly lower OFV compared to FISVDD. However, this does not necessarily mean that Incremental SVM is definitively better.",resnet101
OverheatData/OverheatData\1804.07849v4\1804.07849v4-Table3-1.png,256,376,Variational J^var (7),"As the threshold (τ) increases, the ODS-F scores for direction, continuity, and category generally increase as well. This indicates that the model performs better in detecting lane markings with higher thresholds, meaning it can tolerate larger deviations from the ground truth annotations.",resnet101
OverheatData/OverheatData\1804.05936v2\1804.05936v2-Figure4-1.png,251,573,LambdaMART,The PE-N=5 sampler performs better than the HMC sampler.,resnet101
OverheatData/OverheatData\1805.04687v2\1805.04687v2-Table1-1.png,387,40,BDD100K,The adaptive model consistently outperforms the fixed model for all values of α.,resnet101
OverheatData/OverheatData\1805.07567v2\1805.07567v2-Table4-1.png,482,95,"The FLoss method performs better than the balanced cross-entropy loss because it can automatically adjust to data imbalance using the F-measure criterion, while the balanced cross-entropy loss relies on pre-defined weights for positive and negative samples.","PWC-Net (ft) achieved the best performance on the KITTI 2015 test set with an F1-all score of 9.16%. This is significantly better than Devon (ft), which achieved an F1-all score of 14.31% on the same dataset. ",resnet101
OverheatData/OverheatData\1705.02946v3\1705.02946v3-Table1-1.png,267,623,O(n^3 / ε),"According to the table, Algorithm 2 w/ Geman-McLure) achieves the best overall F1 score of 0.56514. However, this method is not consistently the best across all individual categories. For example, OMoGMF has a higher F1 score for the ""badWeather"" category.",resnet101
OverheatData/OverheatData\1706.03847v3\1706.03847v3-Table2-1.png,446,24,The highest Recall@20 score was achieved by the GRU4Rec with additional samples and BPR-max loss function on the RSC15 dataset. This score was 42.37% higher than the Recall@20 score of the original GRU4Rec model on the same dataset.,"The WeakFG method achieved the highest P@1 score for the QA-Expert task with a score of 52.8. This is 23.2% higher than the average P@1 score of the D2V method, which was 29.6. ",resnet101
OverheatData/OverheatData\1804.07849v4\1804.07849v4-Table4-1.png,255,313,"The Variational $\wh{J}^{\mathrm{var}}$ method achieved the highest average VM score (50.4). Its average score is 39.6 points higher than the Baum-Welch method, which achieved an average VM score of 10.8.","Seq2Seq and Mem2Seq models performed poorly because they struggled to capture the semantic representations of unseen entities. This means they couldn't understand the meaning and relationships of new restaurants introduced in the KB. As a result, they were unable to accurately identify the correct restaurant and provide its address when faced with unseen entities.",resnet101
OverheatData/OverheatData\1803.04572v2\1803.04572v2-Figure8-1.png,151,12,"The temporal patterns of phenotype magnitude differ between sickle cell anemia and leukemia patients in terms of both shape and magnitude. For sickle cell anemia patients, the patterns are generally smoother and more periodic, with lower overall magnitude. For leukemia patients, the patterns are more erratic and have higher overall magnitude.",DMRNet,resnet101
OverheatData/OverheatData\1705.10667v4\1705.10667v4-Figure3-1.png,363,161,CDAN-fg,Conventional distant supervision can lead to wrong labeling of textual relations with KB relations.,resnet101
OverheatData/OverheatData\1705.09882v2\1705.09882v2-Figure5-1.png,331,147,The proposed RGB-to-Depth transfer performs slightly better than Yosinski et al. [90] in terms of top-1 accuracy on DPI-T when all layers are fine-tuned.,The AUC of RippleNet first increases and then decreases with the increase of the dimension of embedding.,resnet101
OverheatData/OverheatData\1805.04687v2\1805.04687v2-Table8-1.png,379,270,"The **Sem-Seg + Det** approach achieved the highest mean IoU of 58.3, which is an improvement of 1.4 points compared to the baseline Sem-Seg model with a mean IoU of 56.9.","For CIFAR10, WGAN achieved the highest IS at the end of training (2.42). However, RWGAN had a higher initial IS score (1.86) compared to WGAN's 1.63. 

For ImageNet, WGAN again achieved the highest final IS (2.80), while RWGAN had a slightly higher initial IS (2.04 vs. 2.00). ",resnet101
OverheatData/OverheatData\1706.00633v4\1706.00633v4-Figure1-1.png,395,40," The non-ME metric measures the entropy of the normalized non-maximal elements in the final hidden vector of the classifier. Adversarial examples often have low non-ME values, indicating that they are close to the decision boundary and have high confidence in the incorrect class.",The adaptive model consistently outperforms the fixed model for all values of α.,resnet101
OverheatData/OverheatData\1709.02755v5\1709.02755v5-Table2-1.png,587,227,The SRU model outperforms the LSTM model in both accuracy and training speed on the SQuAD dataset.,"For CAT2 queries, the learned policy shows a slight improvement in relevance (NCG) for the weighted set and a significant reduction in index blocks accessed for both weighted and unweighted sets.",resnet101
OverheatData/OverheatData\1809.04276v2\1809.04276v2-Table1-1.png,640,314,"The model is discouraged because it is trained using the Maximum Likelihood Estimation (MLE) objective, which prioritizes generating responses that are identical to the ground-truth (GT) response. Even though the RSP integrates relevant content from the candidates and seems appropriate in the context, it is penalized because it deviates from the exact wording of the GT.",The BOSSNET model achieved the highest combined score for informativeness and grammatical correctness on the CamRest dataset.,resnet101
OverheatData/OverheatData\1803.04572v2\1803.04572v2-Table7-1.png,149,61,"According to the table, some common medications used to treat Sickle Cell Anemia include:

Beta-adrenergic agents
Analgesics (narcotics and non-narcotics)
NSAIDs (cyclooxygenase inhibitor - type)
Potassium replacement
Sodium/saline preparations
General inhalation agents
Laxatives and cathartics
IV solutions (dextrose-saline)
Antiemetic/antivertigo agents
Sedative-hypnotics (non-barbiturate)
Glucocorticoids (orally inhaled)
Folic acid preparations
Analgesic narcotic anesthetic adjunct agents"," The frequency reduction process takes a high-frequency trajectory and samples it at a lower frequency, resulting in multiple trajectories with different starting and ending points. ",resnet101
OverheatData/OverheatData\1701.06171v4\1701.06171v4-Figure2-1.png,120,121,The variables in the Compositional Active Basis Model are hierarchically dependent. The variables at each layer are dependent on the variables at the layer above it.,The hierarchical part dictionary learned with the bottom-up process is a set of parts that can be combined to create objects. The holistic object model learned with the top-down process is a single model that represents the entire object.,resnet101
OverheatData/OverheatData\1706.00827v2\1706.00827v2-Table1-1.png,407,18,Multi-X achieved the most accurate results for simultaneous line and circle fitting.,"GeoCUTS consistently outperforms the Grid method in identifying highly mobile clusters, regardless of the number of clusters. However, the performance of both methods decreases as the number of clusters increases.",resnet101
OverheatData/OverheatData\1705.09882v2\1705.09882v2-Table1-1.png,325,419,"The proposed method with RTA attention achieves the highest Top-1 Accuracy for multi-shot person re-identification on the BIWI dataset with a score of 50.0%. This is significantly higher than the best single-shot method on the same dataset, which is our method (CNN) with a score of 25.4%.","As the corruption level increases, the performance of all models decreases. However, ChoiceNet consistently outperforms both ConvNet and ConvNet+Mixup across all corruption levels, maintaining high accuracy even when almost half of the labels are incorrect. This suggests that ChoiceNet is significantly more robust to label corruption compared to the other models.",resnet101
OverheatData/OverheatData\1811.02721v3\1811.02721v3-Table8-1.png,211,213,"The protocol implementation module consumes the most memory in the active RAM on TinyOS, utilizing 488 bytes.","The posix_sockets module consistently uses less memory than the combined usage of the protocol and socket layer. For an active connection, it requires about 5468 B compared to 19972 B + 6216 B = 26188 B for the other layers. Similarly, for a passive connection, it uses 5468 B compared to 19972 B + 6216 B = 26188 B for the other layers.",resnet101
OverheatData/OverheatData\1812.06589v2\1812.06589v2-Table3-1.png,462,18,"Adding DA to the baseline method improves the PSNR and SSIM values, while slightly decreasing the LMD value.","GeoCUTS consistently outperforms the Grid method in identifying highly mobile clusters, regardless of the number of clusters. However, the performance of both methods decreases as the number of clusters increases.",resnet101
OverheatData/OverheatData\1612.02803v5\1612.02803v5-Figure1-1.png,73,645,"The equation that describes the motion of a mass attached to a spring is:
```
m d^2 X / dt^2 + kX = 0
```
where:
* m is the mass of the object
* X is the displacement of the object from its equilibrium position
* k is the spring constant
* t is time","For all datasets presented, Incremental SVM achieved a slightly lower OFV compared to FISVDD. However, this does not necessarily mean that Incremental SVM is definitively better.",resnet101
OverheatData/OverheatData\1611.04684v1\1611.04684v1-Table1-1.png,0,632,"The Bonaparte school focuses on outdoor physical activities, maneuvers, and strategies, with a specialization in horse riding, lances, and swords. They aim to develop students into good leaders. The Voltaire school, on the other hand, encourages independent thinking and focuses on indoor activities. They aim to instill good moral values and develop students into philosophical thinkers.","The authors claim that S-ACNN is more expressive than S-CNN because, despite having only one filter, it significantly outperforms S-CNN on both datasets. This suggests that the filter-generation module in ACNN allows for greater flexibility and adaptability, enabling the model to better capture the specific features of each sentence.",resnet101
OverheatData/OverheatData\1812.00281v3\1812.00281v3-Figure15-1.png,436,625,The results of the monocular 3D body prediction network trained with different dataset combinations show that the Up3d+HUMBI dataset combination produces the most accurate results. This is evident in the images where the predicted 3D body poses are closer to the ground-truth poses than the other dataset combinations.,The Boolean map is obtained by thresholding the residuals prior to thresholding.,resnet101
OverheatData/OverheatData\1707.06320v2\1707.06320v2-Table2-1.png,526,168,"GroundSent-Cap appears to be most beneficial for the MRPC task, achieving an accuracy of 72.9/82.2 compared to the baseline model ST-LN's 69.6/81.2.",Independent and common concept,resnet101
OverheatData/OverheatData\1611.03780v2\1611.03780v2-Figure1-1.png,17,459,"The Hilbert space-filling curve is constructed recursively. The curve starts with a simple square, and then at each subsequent iteration, the curve is subdivided into four smaller squares. The curve is then drawn through each of these squares in a specific order.",The skip connections are used to combine the features from the encoding and decoding modules at each scale. This helps to preserve the spatial information that is lost during the downsampling and upsampling operations.,resnet101
OverheatData/OverheatData\1803.01128v3\1803.01128v3-Table6-1.png,80,278,"No, adversarial examples generated with the 2-keyword constraint deviate significantly from the original syntactic structure.","The Text-to-parse model performs the best at predicting the delexicalised constituency tree, achieving an unlabelled F1 score of 87.5. This is significantly higher than the baseline Unconditional model, which achieves an unlabelled F1 score of 38.5. The Text-to-parse model therefore performs approximately 49 points better than the baseline.",resnet101
OverheatData/OverheatData\1703.04887v4\1703.04887v4-Table2-1.png,133,298,"BR-CSGAN consistently outperforms MRT on both Chinese-English and English-German translation tasks, achieving higher BLEU scores.

While both methods optimize similar objectives, BR-CSGAN uses a reinforcement learning procedure with a dynamic discriminator to maximize rewards for the generator. This dynamic feedback seems to be more effective than the static objective and random sampling approach used by MRT, leading to better translation performance.",ReLU,resnet101
OverheatData/OverheatData\1706.04269v2\1706.04269v2-Figure5-1.png,455,198,Action Search uses temporal context to reason about where to search next by looking at the frames before and after the current frame. This allows the model to learn the temporal patterns of actions and to predict where the action is most likely to occur in the next frame.,The LIVR framework decomposes semantic features into different places by utilizing bitmaps encoded with the semantic labels of places. This decomposition encourages the network to learn features of generic place-based motion patterns that are independent of scene layouts.,resnet101
OverheatData/OverheatData\1901.00056v2\1901.00056v2-Table5-1.png,507,157,The range of values for the context number hyperparameter is from 1 to 20.,"SNLI performs better than MultiNLI when considering the percentage of individual labels that match the author's label. SNLI has a score of 85.8%, while MultiNLI has a score of 85.2%.",resnet101
OverheatData/OverheatData\1803.04383v2\1803.04383v2-Figure5-1.png,178,153,The maximum profit criteria ($\maxprof$) results in the highest loan approval rate for the Black group when the loss/profit ratio is -4.,COPA is faster than Helwig.,resnet101
OverheatData/OverheatData\1707.00524v2\1707.00524v2-Figure3-1.png,487,442,"The predicted frame is generated by the prediction model, while the reconstructed frame is generated by the autoencoder. The predicted frame is typically more accurate than the reconstructed frame, as the prediction model is trained to predict the future state of the environment, while the autoencoder is only trained to reconstruct the input image.","The median appearance is the average of all the multiview images, while the view-specific appearance is a single image that is rendered from a specific viewpoint.",resnet101
OverheatData/OverheatData\1701.03077v10\1701.03077v10-Figure8-1.png,45,40,"The authors chose to use a nonlinearity to curve α before fitting the cubic hermite spline because it allows for increased knot density near α = 2 and decreased knot density when α > 4. This helps to better approximate the log partition function, which is difficult to evaluate for arbitrary inputs.",The adaptive model consistently outperforms the fixed model for all values of α.,resnet101
OverheatData/OverheatData\1708.01425v4\1708.01425v4-Table1-1.png,567,581,"Step 4, Reason disambiguation.",The average precision of TCM(256*memory) is lower than the other two algorithms in the email-EuAll dataset.,resnet101
OverheatData/OverheatData\1901.00056v2\1901.00056v2-Table4-1.png,513,341,The largest performance gap is observed in the PubMed + UMLS dataset using the F1@K metric with K=1.,"The proposed attribute-guided face generation method preserves the identity of the person in the high-resolution result, while conventional face super-resolution methods do not necessarily guarantee this.",resnet101
OverheatData/OverheatData\1705.07164v8\1705.07164v8-Table1-1.png,271,498,"The Euclidean Bregman cost function is simply the squared difference between two points, while the Mahalanobis Bregman cost function takes into account the covariance of the data.","OpenIE is used to extract tuples from the unlabeled text corpus. These tuples are then used to create the 3-mode tensors X1, X2, and X3.",resnet101
OverheatData/OverheatData\1803.04572v2\1803.04572v2-Figure3-1.png,148,443,The smoothness constraint on $\M{U_k}$ has the most significant impact on the FIT values for the CMS data set when the target rank is 15.,The decoder is responsible for generating the final 3D mesh from the intermediate representations produced by the regression network.,resnet101
OverheatData/OverheatData\1811.09393v4\1811.09393v4-Figure2-1.png,354,297,"The Motion Compensation block estimates the motion between the previous frame and the current frame, and uses this information to warp the previous frame to the current frame. This helps the generator to produce more realistic images by taking into account the temporal information in the video sequence.","The filter is used to extract features from the input image. It is a small matrix that is applied to each pixel in the image, and the result is a new pixel value.",resnet101
OverheatData/OverheatData\1701.03077v10\1701.03077v10-Figure13-1.png,46,370,The range of values for the shape parameter α is from 0 to 2.,The segmentation model learns to interpolate in areas that have no lane markings.,resnet101
OverheatData/OverheatData\1811.09393v4\1811.09393v4-Figure4-1.png,352,16," The warped triplets provide additional information about the motion and appearance of the scene, which helps the VSR Ds,t to generate more accurate and realistic results.",GeoCUTS performs comparably to other clusterings for highly active users.,resnet101
OverheatData/OverheatData\1809.01246v1\1809.01246v1-Figure11-1.png,577,579,"The ARE of node queries generally decreases as the width increases for all configurations of GSS and TCM. However, there are some fluctuations in the ARE for some configurations.",The graph for the Caida-networkflow dataset shows the largest improvement in accuracy for the TCM(8*memory) method compared to the GSS(fsize=12) method.,resnet101
OverheatData/OverheatData\1708.05239v3\1708.05239v3-Figure9-1.png,572,40,PE-HMC (N=5),The adaptive model consistently outperforms the fixed model for all values of α.,resnet101
OverheatData/OverheatData\1707.01922v5\1707.01922v5-Figure1-1.png,517,330,The task-irrelevant data is used to simulate the RGB representation using the gray scale image. This allows ZDDA to learn a joint network that can be used to classify digits in both the gray scale and RGB domains.,The Reinforced Temporal Attention (RTA) unit.,resnet101
OverheatData/OverheatData\1809.00458v1\1809.00458v1-Figure19-1.png,559,573,The running time of GB-KM increases as the F-1 score increases.,The PE-N=5 sampler performs better than the HMC sampler.,resnet101
OverheatData/OverheatData\1603.03833v4\1603.03833v4-Table1-1.png,60,426,"The passage mentions that additional trajectories were generated for the ""Pick and Place"" task by reducing the frequency of the recorded demonstrations. This process was not applied to the ""Push to Pose"" task, therefore no ""Demonstrations after shift"" are listed for it.","The Cholesky block is used to decompose the covariance matrix Σk into a lower triangular matrix and its transpose. This decomposition is used to ensure that the covariance matrix is positive definite, which is a requirement for the Gaussian distribution.",resnet101
OverheatData/OverheatData\1809.00458v1\1809.00458v1-Figure18-1.png,551,247,GB-KMV,The perfect results received the largest promotions in rank.,resnet101
